 idConsulta,Consulta,10_preguntas_similares,5_preguntas_similares,3_preguntas_similares
1,Cuales son las condiciones para presentarse a un concurso?,"Cuales son las condiciones para presentarse a un concurso?
¿Cuáles son los requisitos para participar en un concurso?
¿Qué condiciones se deben cumplir para presentarse a un concurso?
¿Cuáles son las exigencias para postularse a un concurso?
¿Qué hay que cumplir para poder participar en un concurso?
¿Cuáles son las reglas para presentarse a un concurso?
¿Qué criterios deben cumplirse para poder anotarse en un concurso?
¿Cuáles son las condiciones establecidas para participar en un concurso?
¿Qué es lo que se pide para presentarse a un concurso?
¿Cuáles son las condiciones reglamentarias para poder entrar en un concurso?","Cuales son las condiciones para presentarse a un concurso?
 ¿Cuáles son los requisitos para participar en un concurso?
 ¿Qué condiciones se deben cumplir para presentarse a un concurso?
 ¿Cuáles son las exigencias para postularse a un concurso?
 ¿Qué hay que cumplir para poder participar en un concurso?","Cuales son las condiciones para presentarse a un concurso?
¿Cuáles son los requisitos para participar en un concurso?
¿Qué condiciones se deben cumplir para presentarse a un concurso?"
2,Quién debe regir la convocatoria para la designación por concurso de profesores ordinarios?,"Quién debe regir la convocatoria para la designación por concurso de profesores ordinarios?
¿Quién tiene la autoridad para manejar la convocatoria para la designación por concurso de profesores ordinarios?
¿Quién es responsable de llevar adelante la convocatoria para la designación por concurso de profesores ordinarios?
¿A quién le toca manejar la convocatoria para la designación por concurso de profesores ordinarios?
¿Quién debe coordinar la convocatoria para la designación por concurso de profesores ordinarios?
¿Quién se encarga de dirigir la convocatoria para la designación por concurso de profesores ordinarios?
¿Quién tiene la obligación de supervisar la convocatoria para la designación por concurso de profesores ordinarios?
¿Quiénes deben estar a cargo de la convocatoria para la designación por concurso de profesores ordinarios?
¿A quién corresponde la convocatoria para la designación por concurso de profesores ordinarios?
¿Quién está encargado de regir la convocatoria para la designación por concurso de profesores ordinarios?","Quién debe regir la convocatoria para la designación por concurso de profesores ordinarios?
 ¿Quién tiene la autoridad para manejar la convocatoria para la designación por concurso de profesores ordinarios?
 ¿Quién es responsable de llevar adelante la convocatoria para la designación por concurso de profesores ordinarios?
 ¿A quién le toca manejar la convocatoria para la designación por concurso de profesores ordinarios?
 ¿Quién debe coordinar la convocatoria para la designación por concurso de profesores ordinarios?","Quién debe regir la convocatoria para la designación por concurso de profesores ordinarios?
¿Quién tiene la autoridad para manejar la convocatoria para la designación por concurso de profesores ordinarios?
¿Quién es responsable de llevar adelante la convocatoria para la designación por concurso de profesores ordinarios?"
3,Cómo se publicita un llamado a concurso?,"Cómo se publicita un llamado a concurso?
¿Cómo se anuncia un llamado a concurso?
¿Cómo se hace pública una convocatoria a concurso?
¿Cómo me entero de un llamado a concurso?
¿Cómo se da a conocer un llamado a concurso?
¿Cómo se informa la apertura de un concurso?
¿Cómo se comunica un llamado a concurso?
¿Cómo se promueve un llamado a concurso?
¿Cómo se difunde un llamado a concurso?
¿Cómo se avisa de un llamado a concurso?","Cómo se publicita un llamado a concurso?
 ¿Cómo se anuncia un llamado a concurso?
 ¿Cómo se hace pública una convocatoria a concurso?
 ¿Cómo me entero de un llamado a concurso?
 ¿Cómo se da a conocer un llamado a concurso?","Cómo se publicita un llamado a concurso?
¿Cómo se anuncia un llamado a concurso?
¿Cómo se hace pública una convocatoria a concurso?"
4,Qué contenido tienen los anuncios?,"Qué contenido tienen los anuncios?
¿Qué información contienen los anuncios?
¿Qué datos se detallan en los anuncios?
¿Qué info llevan los anuncios?
¿Qué elementos se incluyen en los anuncios?
¿Qué puntos componen los anuncios?
¿Qué cosas aparecen en los anuncios?
¿Qué especificaciones contienen los anuncios?
¿Qué información se muestra en los anuncios?
¿Qué detalles incluyen los anuncios?","Qué contenido tienen los anuncios?
 ¿Qué información contienen los anuncios?
 ¿Qué datos se detallan en los anuncios?
 ¿Qué info llevan los anuncios?
 ¿Qué elementos se incluyen en los anuncios?","Qué contenido tienen los anuncios?
¿Qué información contienen los anuncios?
¿Qué datos se detallan en los anuncios?"
5,Cuales son los requisitos para los aspirantes a un concurso?,"Cuales son los requisitos para los aspirantes a un concurso?
¿Cuáles son las condiciones que deben cumplir los aspirantes a un concurso?
¿Qué se necesita para anotarse en un concurso?
¿Cuáles son las exigencias para los aspirantes a un concurso?
¿Qué cosas le piden a los aspirantes a un concurso?
¿Cuáles son los criterios que tienen en cuenta para los aspirantes a un concurso?
¿Qué requisitos deben cumplir los candidatos a un concurso?
¿Cuáles son las reglas para los aspirantes a un concurso?
¿Qué requisitos deben presentar los interesados en un concurso?
¿Cuáles son los requerimientos para los aspirantes a un concurso?","Cuales son los requisitos para los aspirantes a un concurso?
 ¿Cuáles son las condiciones que deben cumplir los aspirantes a un concurso?
 ¿Qué se necesita para anotarse en un concurso?
 ¿Cuáles son las exigencias para los aspirantes a un concurso?
 ¿Qué cosas le piden a los aspirantes a un concurso?","Cuales son los requisitos para los aspirantes a un concurso?
¿Cuáles son las condiciones que deben cumplir los aspirantes a un concurso?
¿Qué se necesita para anotarse en un concurso?"
6,Cuales son los plazos de inscripción?,"Cuales son los plazos de inscripción?
¿Cuáles son los tiempos para anotarse?
¿Qué plazos están estipulados para la inscripción?
¿Cuándo hay que anotarse?
¿Cuáles son las fechas límite para la inscripción?
¿Qué tiempos se manejan para la inscripción?
¿Cuáles son los periodos de inscripción?
¿Qué plazos están establecidos para la inscripción?
¿Cuáles son las fechas de inscripción?
¿Cuándo es la fecha límite para inscribirse?","Cuales son los plazos de inscripción?
 ¿Cuáles son los tiempos para anotarse?
 ¿Qué plazos están estipulados para la inscripción?
 ¿Cuándo hay que anotarse?
 ¿Cuáles son las fechas límite para la inscripción?","Cuales son los plazos de inscripción?
¿Cuáles son los tiempos para anotarse?
¿Qué plazos están estipulados para la inscripción?"
7,En dónde se realizan las inscripciones?,"En dónde se realizan las inscripciones?
¿Dónde se lleva a cabo la inscripción?
¿En qué lugar hay que anortase para las inscripciones?
¿Dónde hay que inscribirse?
¿En qué lugar se realizan las inscripciones?
¿Dónde se hacen las inscripciones?
¿En qué sitio se formalizan las inscripciones?
¿Dónde se completa la inscripción?
¿En qué lugar se efectúan las inscripciones?
¿Dónde se realiza la inscripción?","En dónde se realizan las inscripciones?
 ¿Dónde se lleva a cabo la inscripción?
 ¿En qué lugar hay que anortase para las inscripciones?
 ¿Dónde hay que inscribirse?
 ¿En qué lugar se realizan las inscripciones?","En dónde se realizan las inscripciones?
¿Dónde se lleva a cabo la inscripción?
¿En qué lugar hay que anortase para las inscripciones?"
8,Que documentación deben presentar los aspirantes a un concurso?,"Que documentación deben presentar los aspirantes a un concurso?
¿Qué papeles tienen que presentar los aspirantes a un concurso?
¿Qué documentos deben entregar los aspirantes a un concurso?
¿Qué documentos se pide a los aspirantes a un concurso?
¿Qué documentación deben llevar los aspirantes a un concurso?
¿Qué documentación es necesaria para los aspirantes a un concurso?
¿Qué papeles deben tener los aspirantes a un concurso?
¿Qué documentos deben adjuntar los aspirantes a un concurso?
¿Qué papeles deben presentar los aspirantes a un concurso?
¿Qué expedientes se requieren para los aspirantes a un concurso?","Que documentación deben presentar los aspirantes a un concurso?
 ¿Qué papeles tienen que presentar los aspirantes a un concurso?
 ¿Qué documentos deben entregar los aspirantes a un concurso?
 ¿Qué documentos se pide a los aspirantes a un concurso?
 ¿Qué documentación deben llevar los aspirantes a un concurso?","Que documentación deben presentar los aspirantes a un concurso?
¿Qué papeles tienen que presentar los aspirantes a un concurso?
¿Qué documentos deben entregar los aspirantes a un concurso?"
9,Cuales son los requisitos ante inscripciones múltiples?,"Cuales son los requisitos ante inscripciones múltiples?
¿Cuáles son las condiciones ante inscripciones múltiples?
¿Qué requisitos se piden en casos de inscripciones múltiples?
¿Cuáles son las reglas para inscripciones múltiples?
¿Qué cosas hay que cumplir ante inscripciones múltiples?
¿Cuáles son las exigencias ante inscripciones múltiples?
¿Qué normas se aplican ante inscripciones múltiples?
¿Qué condiciones rigen ante inscripciones múltiples?
¿Cuáles son los requerimientos para inscripciones múltiples?
¿Qué reglas se siguen en inscripciones múltiples?","Cuales son los requisitos ante inscripciones múltiples?
 ¿Cuáles son las condiciones ante inscripciones múltiples?
 ¿Qué requisitos se piden en casos de inscripciones múltiples?
 ¿Cuáles son las reglas para inscripciones múltiples?
 ¿Qué cosas hay que cumplir ante inscripciones múltiples?","Cuales son los requisitos ante inscripciones múltiples?
¿Cuáles son las condiciones ante inscripciones múltiples?
¿Qué requisitos se piden en casos de inscripciones múltiples?"
10,Que se hace en el cierre de inscripción?,"Que se hace en el cierre de inscripción?
¿Qué acciones se realizan al finalizar la inscripción?
¿Qué procedimientos se siguen en el cierre del periodo de inscripción?
¿Qué medidas se toman al concluir la inscripción?
¿Qué pasos se ejecutan al cerrar la inscripción?
¿Qué se lleva a cabo cuando termina la inscripción?
¿Qué se dispone en el momento del cierre de inscripciones?
¿Qué acciones se deben tomar al cerrar la inscripción?
¿Qué se procede a hacer en el cierre de las inscripciones?
¿Qué se realiza al finalizar el proceso de inscripción?","Que se hace en el cierre de inscripción?
 ¿Qué acciones se realizan al finalizar la inscripción?
 ¿Qué procedimientos se siguen en el cierre del periodo de inscripción?
 ¿Qué medidas se toman al concluir la inscripción?
 ¿Qué pasos se ejecutan al cerrar la inscripción?","Que se hace en el cierre de inscripción?
¿Qué acciones se realizan al finalizar la inscripción?
¿Qué procedimientos se siguen en el cierre del periodo de inscripción?"
